Player,Role,Amount,Team,Year,Player_Origin,Amount_Cr,Count,Repeated
Aaron Finch,Batsman,40000000,Sunrisers Hyderabad,2014,Overseas,4.0,5,True
Aaron Finch,Batsman,32000000,Mumbai Indians,2015,Overseas,3.2,5,True
Aaron Finch,Batsman,10000000,Gujarat Lions,2016,Overseas,1.0,5,True
Aaron Finch,Batsman,62000000,Kings XI Punjab,2018,Overseas,6.2,5,True
Aaron Finch,Batsman,44000000,Royal Challengers Bangalore,2020,Overseas,4.4,5,True
Abdul Samad,All-Rounder,2000000,Sunrisers Hyderabad,2020,Indian,0.2,1,False
Abhijeet Tomar,Batsman,4000000,Kolkata Knight Riders,2022,Indian,0.4,1,False
Abhimanyu Mithun,Bowler,3000000,Mumbai Indians,2015,Indian,0.3,2,True
Abhimanyu Mithun,Bowler,3000000,Sunrisers Hyderabad,2016,Indian,0.3,2,True
Abhinav Sadarangani,Batsman,26000000,Gujarat Titans,2022,Indian,2.6,1,False
Abhishek Nayar,All-Rounder,50625000,Pune Warriors India,2013,Indian,5.0625,2,True
Abhishek Nayar,All-Rounder,10000000,Rajasthan Royals,2014,Indian,1.0,2,True
Abhishek Sharma,All-Rounder,5500000,Delhi Daredevils,2018,Indian,0.55,2,True
Abhishek Sharma,All-Rounder,65000000,Sunrisers Hyderabad,2022,Indian,6.5,2,True
Abu Nechim Ahmed,Bowler,3000000,Royal Challengers Bangalore,2014,Indian,0.3,1,False
Adam Milne,Bowler,7000000,Royal Challengers Bangalore,2015,Overseas,0.7,3,True
Adam Milne,Bowler,32000000,Mumbai Indians,2021,Overseas,3.2,3,True
Adam Milne,Bowler,19000000,Chennai Super Kings,2022,Overseas,1.9,3,True
Adam Zampa,Bowler,3000000,Rising Pune Supergiant,2016,Overseas,0.3,1,False
Aditya Garhwal,All-Rounder,2500000,Kolkata Knight Riders,2015,Indian,0.25,1,False
Aditya Tare,Wicket Keeper,16000000,Mumbai Indians,2014,Indian,1.6,4,True
Aditya Tare,Wicket Keeper,12000000,Sunrisers Hyderabad,2016,Indian,1.2,4,True
Aditya Tare,Wicket Keeper,2500000,Delhi Daredevils,2017,Indian,0.25,4,True
Aditya Tare,Wicket Keeper,2000000,Mumbai Indians,2018,Indian,0.2,4,True
Agnivesh Ayachi,All-Rounder,2000000,Kings XI Punjab,2019,Indian,0.2,1,False
Aiden Blizzard,Batsman,3000000,Mumbai Indians,2015,Overseas,0.3,1,False
